tʰi˩˥	tʰ i ˩˥  
tʰv̩˧sɯ˩kv̩˩dʑo˩	tʰ v̩ ˧ s ɯ ˩ k v̩ ˩ dʑ o ˩  
tʰv̩˧tsɯ˧˥	tʰ v̩ ˧ ts ɯ ˧˥  
tʰv̩˧v̩˧ki˥	tʰ v̩ ˧ v̩ ˧ k i ˥  
tʰv̩˧v̩˧ki˧sɯ˩	tʰ v̩ ˧ v̩ ˧ k i ˧ s ɯ ˩  
tʰv̩˧v̩˧ɳɯ˧	tʰ v̩ ˧ v̩ ˧ ɳ ɯ ˧  
tʰv̩˧ze˩	tʰ v̩ ˧ z e ˩  
tʰv̩˧zo˥	tʰ v̩ ˧ z o ˥  
tʰv̩˧ɭɯ˧dʑo˩	tʰ v̩ ˧ ɭ ɯ ˧ dʑ o ˩  
tʰv̩˧ɭɯ˧ki˧	tʰ v̩ ˧ ɭ ɯ ˧ k i ˧  
tʰv̩˧ɲi˥mæ˩	tʰ v̩ ˧ ɲ i ˥ m æ ˩  
tʰv̩˧ɲi˥tsɯ˩	tʰ v̩ ˧ ɲ i ˥ ts ɯ ˩  
tʰv̩˧ɻæ˥dʑo˩	tʰ v̩ ˧ ɻ æ ˥ dʑ o ˩  
tʰv̩˧ɻæ˧qo˥	tʰ v̩ ˧ ɻ æ ˧ q o ˥  
tʰv̩˧ɻæ˧qo˥ɳɯ˩	tʰ v̩ ˧ ɻ æ ˧ q o ˥ ɳ ɯ ˩  
tʰv̩˧ɻ̍˧dʑo˥	tʰ v̩ ˧ ɻ̍ ˧ dʑ o ˥  
tʰv̩˧ʁo˥ʈʰæ˩qo˩dʑo˩	tʰ v̩ ˧ ʁ o ˥ ʈʰ æ ˩ q o ˩ dʑ o ˩  
tʰv̩˧ʁo˧dɑ˧dʑo˩	tʰ v̩ ˧ ʁ o ˧ d ɑ ˧ dʑ o ˩  
tʰv̩˧ʈʂæ˩qo˩	tʰ v̩ ˧ ʈʂ æ ˩ q o ˩  
tʰv̩˧ʈʂʰæ˩dʑo˩	tʰ v̩ ˧ ʈʂʰ æ ˩ dʑ o ˩  
tʰv̩˧ʑi˧ɻ̍˥	tʰ v̩ ˧ ʑ i ˧ ɻ̍ ˥  
tʰv̩˧ʑi˧˥	tʰ v̩ ˧ ʑ i ˧˥  
tʰv̩˧˥	tʰ v̩ ˧˥  
tʰv̩˩bi˩	tʰ v̩ ˩ b i ˩  
tʰv̩˩hɯ˩˥	tʰ v̩ ˩ h ɯ ˩˥  
tʰv̩˩kv̩˥	tʰ v̩ ˩ k v̩ ˥  
tʰv̩˩kv̩˩	tʰ v̩ ˩ k v̩ ˩  
tʰv̩˩kwɤ˩	tʰ v̩ ˩ k wɤ ˩  
tʰv̩˩kʰwɤ˩	tʰ v̩ ˩ kʰ wɤ ˩  
tʰv̩˩kʰwɤ˩dʑo˩	tʰ v̩ ˩ kʰ wɤ ˩ dʑ o ˩  
tʰv̩˩kʰɯ˩dʑo˩	tʰ v̩ ˩ kʰ ɯ ˩ dʑ o ˩  
tʰv̩˩mo˩ki˩dʑo˩	tʰ v̩ ˩ m o ˩ k i ˩ dʑ o ˩  
tʰv̩˩nɑ˥	tʰ v̩ ˩ n ɑ ˥  
tʰv̩˩pi˥	tʰ v̩ ˩ p i ˥  
tʰv̩˩qo˩	tʰ v̩ ˩ q o ˩  
tʰv̩˩qo˩dʑo˩	tʰ v̩ ˩ q o ˩ dʑ o ˩  
tʰv̩˩v̩˩ɳɯ˥	tʰ v̩ ˩ v̩ ˩ ɳ ɯ ˥  
tʰv̩˩ɭɯ˩ʁo˩to˥	tʰ v̩ ˩ ɭ ɯ ˩ ʁ o ˩ t o ˥  
tʰv̩˩ɲi˥tsɯ˩	tʰ v̩ ˩ ɲ i ˥ ts ɯ ˩  
tʰv̩˩ɲi˩ho˩	tʰ v̩ ˩ ɲ i ˩ h o ˩  
tʰv̩˩ɲi˩ze˩	tʰ v̩ ˩ ɲ i ˩ z e ˩  
tʰv̩˩ɳɯ˩	tʰ v̩ ˩ ɳ ɯ ˩  
tʰv̩˩ʁo˩	tʰ v̩ ˩ ʁ o ˩  
tʰv̩˩˥	tʰ v̩ ˩˥  
tʰææ˧	tʰ æ æ ˧  
tʰææ̃˧dʑo˩	tʰ æ æ̃ ˧ dʑ o ˩  
tʰæ˧ɻæ˩bi˩	tʰ æ ˧ ɻ æ ˩ b i ˩  
tʰɑ˧	tʰ ɑ ˧  
tʰɑ˧dzɯ˥	tʰ ɑ ˧ dz ɯ ˥  
tʰɑ˧dzɯ˥ze˩	tʰ ɑ ˧ dz ɯ ˥ z e ˩  
tʰɑ˧kv̩˧kv̩˥	tʰ ɑ ˧ k v̩ ˧ k v̩ ˥  
tʰɑ˧kv̩˩	tʰ ɑ ˧ k v̩ ˩  
tʰɑ˧kwɤ˩	tʰ ɑ ˧ k wɤ ˩  
tʰɑ˧lɑ˧˥	tʰ ɑ ˧ l ɑ ˧˥  
tʰɑ˧mv̩˧	tʰ ɑ ˧ m v̩ ˧  
tʰɑ˧mɤ˧ʝi˧ze˩	tʰ ɑ ˧ m ɤ ˧ ʝ i ˧ z e ˩  
tʰɑ˧sɯ˧kɤ˧ʈʂɯ˥	tʰ ɑ ˧ s ɯ ˧ k ɤ ˧ ʈʂ ɯ ˥  
tʰɑ˧ti˧ti˥	tʰ ɑ ˧ t i ˧ t i ˥  
tʰɑ˧tʰv̩˧	tʰ ɑ ˧ tʰ v̩ ˧  
tʰɑ˧ŋv̩˩	tʰ ɑ ˧ ŋ v̩ ˩  
tʰɑ˧ɲi˥	tʰ ɑ ˧ ɲ i ˥  
tʰɑ˧ɲi˥ze˩	tʰ ɑ ˧ ɲ i ˥ z e ˩  
tʰɑ˧ʂv̩˧ɖv̩˧	tʰ ɑ ˧ ʂ v̩ ˧ ɖ v̩ ˧  
tʰɑ˧ʝi˧ɻ̍˥	tʰ ɑ ˧ ʝ i ˧ ɻ̍ ˥  
tʰɑ˧˥	tʰ ɑ ˧˥  
tʰɑ˩kv̩˩	tʰ ɑ ˩ k v̩ ˩  
tʰɑ˩tʰɑ˩ʈʂʰɯ˥	tʰ ɑ ˩ tʰ ɑ ˩ ʈʂʰ ɯ ˥  
tʰɑ˩ʝi˩ze˩	tʰ ɑ ˩ ʝ i ˩ z e ˩  
uɻ˩	u ɻ ˩  
v̩˧dʑo˧	v̩ ˧ dʑ o ˧  
v̩˧lɑ˩ʝi˩	v̩ ˧ l ɑ ˩ ʝ i ˩  
v̩˧lɑ˩ʝi˩ɲi˩ho˩	v̩ ˧ l ɑ ˩ ʝ i ˩ ɲ i ˩ h o ˩  
v̩˧pɤ˩kʰwɤ˩	v̩ ˧ p ɤ ˩ kʰ wɤ ˩  
v̩˩	v̩ ˩  
v̩˩dze˩	v̩ ˩ dz e ˩  
v̩˩dʑɯ˩kʰɯ˥di˩	v̩ ˩ dʑ ɯ ˩ kʰ ɯ ˥ d i ˩  
v̩˩dʑɯ˩˥	v̩ ˩ dʑ ɯ ˩˥  
v̩˩tsʰɤ˧tsʰɑ˧nɑ˥	v̩ ˩ tsʰ ɤ ˧ tsʰ ɑ ˧ n ɑ ˥  
v̩˩tsʰɤ˧tæ˧pv̩˥ʈʂʰɯ˩	v̩ ˩ tsʰ ɤ ˧ t æ ˧ p v̩ ˥ ʈʂʰ ɯ ˩  
v̩˩tsʰɤ˧ɻæ˥	v̩ ˩ tsʰ ɤ ˧ ɻ æ ˥  
v̩˩tsʰɤ˩	v̩ ˩ tsʰ ɤ ˩  
w	w  
we˩˥	w e ˩˥  
wo˩	w o ˩  
wo˩lɑ˧	w o ˩ l ɑ ˧  
wo˩mi˥	w o ˩ m i ˥  
wo˩tɕæ˩ɻæ˥	w o ˩ tɕ æ ˩ ɻ æ ˥  
wo˩v̩˥tsʰɤ˩	w o ˩ v̩ ˥ tsʰ ɤ ˩  
wo˩ɻæ˥ʈʂʰɯ˩	w o ˩ ɻ æ ˥ ʈʂʰ ɯ ˩  
wwo	w w o  
wɤɕjɤɕjɤ	wɤ ɕ jɤ ɕ jɤ  
wɤɕjɤɕjɤɕjɤɕjɤɕjɤɕjɤ	wɤ ɕ jɤ ɕ jɤ ɕ jɤ ɕ jɤ ɕ jɤ ɕ jɤ  
wɤ˧	wɤ ˧  
wɤ˧mɤ˧kv̩˩lɑ˩	wɤ ˧ m ɤ ˧ k v̩ ˩ l ɑ ˩  
wɤ˩hĩ˩zo˩ho˥ze˩	wɤ ˩ h ĩ ˩ z o ˩ h o ˥ z e ˩  
wɤ˩tsʰɯ˩hĩ˩ʈʂʰɯ˩	wɤ ˩ tsʰ ɯ ˩ h ĩ ˩ ʈʂʰ ɯ ˩  
wɤ˩zo˩kv̩˩	wɤ ˩ z o ˩ k v̩ ˩  
ze˩gɤ˧	z e ˩ g ɤ ˧  
ze˩kɯ˥qo˩	z e ˩ k ɯ ˥ q o ˩  
ze˩mi˩	z e ˩ m i ˩  
ze˩v̩˩ze˥mi˩ki˩dʑo˩	z e ˩ v̩ ˩ z e ˥ m i ˩ k i ˩ dʑ o ˩  
ze˩ɲi˧	z e ˩ ɲ i ˧  
zo	z o  
zo˧bæ˩ɳɯ˩	z o ˧ b æ ˩ ɳ ɯ ˩  
zo˧dʑo˩	z o ˧ dʑ o ˩  
zo˧hṽ˧˥	z o ˧ h ṽ ˧˥  
zo˧hṽ̩˧ki˥	z o ˧ h ṽ̩ ˧ k i ˥  
zo˧hṽ̩˧ɳɯ˥	z o ˧ h ṽ̩ ˧ ɳ ɯ ˥  
zo˧ki˧	z o ˧ k i ˧  
zo˧lɑ˩	z o ˧ l ɑ ˩  
zo˧mv̩˥hɤ˩	z o ˧ m v̩ ˥ h ɤ ˩  
zo˧mv̩˥zo˩	z o ˧ m v̩ ˥ z o ˩  
zo˧mv̩˥zo˩ɻæ˩ki˩	z o ˧ m v̩ ˥ z o ˩ ɻ æ ˩ k i ˩  
zo˧mv̩˥ɳɯ˩	z o ˧ m v̩ ˥ ɳ ɯ ˩  
zo˧mv̩˥ɻæ˩	z o ˧ m v̩ ˥ ɻ æ ˩  
zo˧mv̩˥ʈʂʰɯ˩dʑo˩	z o ˧ m v̩ ˥ ʈʂʰ ɯ ˩ dʑ o ˩  
zo˧ɖɯ˥	z o ˧ ɖ ɯ ˥  
zo˧ʈʂʰɯ˧dʑo˩	z o ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
zo˩bv̩˥ɭɯ˩	z o ˩ b v̩ ˥ ɭ ɯ ˩  
zo˩dʑo˩dʑo˩	z o ˩ dʑ o ˩ dʑ o ˩  
zo˩kv̩˩˥	z o ˩ k v̩ ˩˥  
zo˩no˧se˥	z o ˩ n o ˧ s e ˥  
zo˩no˧ɳhĩ˧	z o ˩ n o ˧ ɳ h ĩ ˧  
zo˩no˧ɳɯ˧	z o ˩ n o ˧ ɳ ɯ ˧  
zo˩qo˥	z o ˩ q o ˥  
zo˩qo˧dʑo˩	z o ˩ q o ˧ dʑ o ˩  
zɑ˩bɑ˧lɑ˩dʑo˩	z ɑ ˩ b ɑ ˧ l ɑ ˩ dʑ o ˩  
zɑ˩tsʰɯ˩dʑo˩	z ɑ ˩ tsʰ ɯ ˩ dʑ o ˩  
zɑ˩tsʰɯ˩zo˩	z ɑ ˩ tsʰ ɯ ˩ z o ˩  
zɯ	z ɯ  
zɯbvzɯbv	z ɯ b v z ɯ b v  
zɯ˧qʰɑ˧mi˧	z ɯ ˧ qʰ ɑ ˧ m i ˧  
zɯ˧qʰɑ˧mi˧kʰɯ˧ʈɯ˥	z ɯ ˧ qʰ ɑ ˧ m i ˧ kʰ ɯ ˧ ʈ ɯ ˥  
zɯ˧ʈʂʰɯ˧	z ɯ ˧ ʈʂʰ ɯ ˧  
æ	æ  
æ˧bv̩˧	æ ˧ b v̩ ˧  
æ˧bv̩˧ʈʂʰɯ˧	æ ˧ b v̩ ˧ ʈʂʰ ɯ ˧  
æ˧mv̩˥tɕi˩hĩ˩	æ ˧ m v̩ ˥ tɕ i ˩ h ĩ ˩  
æ˧mv̩˥tɕi˩kʰwɤ˩lɑ˩	æ ˧ m v̩ ˥ tɕ i ˩ kʰ wɤ ˩ l ɑ ˩  
æ˧mv̩˩	æ ˧ m v̩ ˩  
æ˧ʂæ˧bv̩˧	æ ˧ ʂ æ ˧ b v̩ ˧  
æ˧ʂæ˧dʑɯ˩	æ ˧ ʂ æ ˧ dʑ ɯ ˩  
æ˧ʂæ˧dʑɯ˩ʈʰæ˩qo˩ɳɯ˩	æ ˧ ʂ æ ˧ dʑ ɯ ˩ ʈʰ æ ˩ q o ˩ ɳ ɯ ˩  
æ˧ʂæ˧lɑ˧	æ ˧ ʂ æ ˧ l ɑ ˧  
æ˧ʂæ˧qʰwɤ˧ʈʂʰɯ˥	æ ˧ ʂ æ ˧ qʰ wɤ ˧ ʈʂʰ ɯ ˥  
æ˧ʂæ˧tɑ˩mv̩˩ʈʂʰɯ˩dʑo˩	æ ˧ ʂ æ ˧ t ɑ ˩ m v̩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
æ˧ʂæ˧ɳɯ˩	æ ˧ ʂ æ ˧ ɳ ɯ ˩  
æ˧ʂæ˧ʈʂʰɯ˥dʑo˩	æ ˧ ʂ æ ˧ ʈʂʰ ɯ ˥ dʑ o ˩  
æ˩pʰæ˧ni˧˥	æ ˩ pʰ æ ˧ n i ˧˥  
æ˩qʰv̩˧	æ ˩ qʰ v̩ ˧  
æ˩qʰv̩˧qo˧	æ ˩ qʰ v̩ ˧ q o ˧  
æ˩ʈv̩˥ki˩	æ ˩ ʈ v̩ ˥ k i ˩  
æ˩ʈv̩˥qo˩ɳɯ˩	æ ˩ ʈ v̩ ˥ q o ˩ ɳ ɯ ˩  
æ˩˥	æ ˩˥  
æ̃˧tsɯ˥kʰɯ˩ʈʂɤ˩mo˩	æ̃ ˧ ts ɯ ˥ kʰ ɯ ˩ ʈʂ ɤ ˩ m o ˩  
æ̃˧tsɯ˥kʰɯ˩ʈʂɤ˩mo˩pi˩	æ̃ ˧ ts ɯ ˥ kʰ ɯ ˩ ʈʂ ɤ ˩ m o ˩ p i ˩  
æ̃˩go˧	æ̃ ˩ g o ˧  
æ̃˩ʁv̩˩pɤ˥jɤ˩	æ̃ ˩ ʁ v̩ ˩ p ɤ ˥ jɤ ˩  
æ̃˩ʂe˧li˥mo˩	æ̃ ˩ ʂ e ˧ l i ˥ m o ˩  
æ̃˩ʂe˧li˥mo˩pi˩	æ̃ ˩ ʂ e ˧ l i ˥ m o ˩ p i ˩  
æ̃˩ʂe˧li˥mo˩pi˩hĩ˩	æ̃ ˩ ʂ e ˧ l i ˥ m o ˩ p i ˩ h ĩ ˩  
æ̃˩ʂe˧li˥mo˩ʈʂʰɯ˩dʑo˩	æ̃ ˩ ʂ e ˧ l i ˥ m o ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
æ̃˩ʂe˧v̩˥dʑɯ˩	æ̃ ˩ ʂ e ˧ v̩ ˥ dʑ ɯ ˩  
æ̃˩ʈʂʰɯ˥	æ̃ ˩ ʈʂʰ ɯ ˥  
õ	õ  
ŋv̩˧ki˧	ŋ v̩ ˧ k i ˧  
ŋv̩˩kv̩˩ze˩mæ˩	ŋ v̩ ˩ k v̩ ˩ z e ˩ m æ ˩  
ŋv̩˩kv̩˩˥	ŋ v̩ ˩ k v̩ ˩˥  
ŋv̩˩lo˩dʑo˥	ŋ v̩ ˩ l o ˩ dʑ o ˥  
ŋv̩˩lo˩pv̩˩pi˥	ŋ v̩ ˩ l o ˩ p v̩ ˩ p i ˥  
ŋv̩˩lo˩pv̩˩˥	ŋ v̩ ˩ l o ˩ p v̩ ˩˥  
ŋv̩˩mɤ˩ʝi˩ze˥	ŋ v̩ ˩ m ɤ ˩ ʝ i ˩ z e ˥  
ŋv̩˩zo˩kv̩˥mæ˩	ŋ v̩ ˩ z o ˩ k v̩ ˥ m æ ˩  
ŋv̩˩zo˩kv̩˩	ŋ v̩ ˩ z o ˩ k v̩ ˩  
ŋv̩˩ɲi˥pi˩tsɯ˩	ŋ v̩ ˩ ɲ i ˥ p i ˩ ts ɯ ˩  
ŋv̩˩ʂe˩bæ˩pi˥	ŋ v̩ ˩ ʂ e ˩ b æ ˩ p i ˥  
ŋwɤ˧hɑ̃˩pi˩hĩ˩ʈʂʰɯ˩dʑo˩	ŋ wɤ ˧ h ɑ̃ ˩ p i ˩ h ĩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
ŋwɤ˧hɑ̃˩ʁo˩	ŋ wɤ ˧ h ɑ̃ ˩ ʁ o ˩  
ŋwɤ˧hɑ̃˩ʁo˩gɤ˩	ŋ wɤ ˧ h ɑ̃ ˩ ʁ o ˩ g ɤ ˩  
ŋwɤ˧hɑ̃˩ʈʂʰɯ˩	ŋ wɤ ˧ h ɑ̃ ˩ ʈʂʰ ɯ ˩  
ŋwɤ˧hɑ̃˩ʈʂʰɯ˩dʑo˩	ŋ wɤ ˧ h ɑ̃ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
ŋwɤ˧kʰv̩˩	ŋ wɤ ˧ kʰ v̩ ˩  
ŋwɤ˧tsʰi˩	ŋ wɤ ˧ tsʰ i ˩  
ŋwɤ˧tsʰi˩kʰv̩˩	ŋ wɤ ˧ tsʰ i ˩ kʰ v̩ ˩  
ŋwɤ˧tsʰi˩kʰv̩˩ɳɯ˩	ŋ wɤ ˧ tsʰ i ˩ kʰ v̩ ˩ ɳ ɯ ˩  
ŋwɤ˧tsʰi˩kʰɯ˩ʈʰæ˩qʰwɤ˩pi˩	ŋ wɤ ˧ tsʰ i ˩ kʰ ɯ ˩ ʈʰ æ ˩ qʰ wɤ ˩ p i ˩  
ŋwɤ˧ɕi˧mæ˥	ŋ wɤ ˧ ɕ i ˧ m æ ˥  
ŋwɤ˩bæ˩hĩ˥ʈʂʰɯ˩	ŋ wɤ ˩ b æ ˩ h ĩ ˥ ʈʂʰ ɯ ˩  
ŋwɤ˩bæ˩sɯ˥	ŋ wɤ ˩ b æ ˩ s ɯ ˥  
ŋwɤ˩ɬi˩ŋwɤ˥ɬi˩	ŋ wɤ ˩ ɬ i ˩ ŋ wɤ ˥ ɬ i ˩  
ŋwɤ˩ɭɯ˩qo˥	ŋ wɤ ˩ ɭ ɯ ˩ q o ˥  
ŋæ˧ʝi˩	ŋ æ ˧ ʝ i ˩  
ŋɲi˩	ŋ ɲ i ˩  
ɑ˩pʰo˩hĩ˩ɳɯ˥dʑo˩	ɑ ˩ pʰ o ˩ h ĩ ˩ ɳ ɯ ˥ dʑ o ˩  
ɑ˩ʁ	ɑ ˩ ʁ  
ɑ˩ʁo˧gɤ˧	ɑ ˩ ʁ o ˧ g ɤ ˧  
ɑ˩ʁo˧hĩ˧ɻæ˥	ɑ ˩ ʁ o ˧ h ĩ ˧ ɻ æ ˥  
ɑ˩ʁo˧kʰi˧	ɑ ˩ ʁ o ˧ kʰ i ˧  
ɑ˩ʁo˧lo˧	ɑ ˩ ʁ o ˧ l o ˧  
ɑ˩ʁo˧ʐwæ˧ni˧˥	ɑ ˩ ʁ o ˧ ʐ wæ ˧ n i ˧˥  
ɑ˩ʁo˧ʑi˧dv̩˧	ɑ ˩ ʁ o ˧ ʑ i ˧ d v̩ ˧  
ɑ̃	ɑ̃  
ɔɔ	ɔ ɔ  
ɕi˧tjɤ˧	ɕ i ˧ t jɤ ˧  
ɕi˧ɕjẽ˧	ɕ i ˧ ɕ j ẽ ˧  
ɕi˧ʈʂʰwæ˧bi˩	ɕ i ˧ ʈʂʰ wæ ˧ b i ˩  
ɕi˧ʈʂʰwæ˧hɑ˧ni˧˥	ɕ i ˧ ʈʂʰ wæ ˧ h ɑ ˧ n i ˧˥  
ɕi˧ʈʂʰwæ˧pɤ˩jɤ˩	ɕ i ˧ ʈʂʰ wæ ˧ p ɤ ˩ jɤ ˩  
ɕi˧ʈʂʰwæ˧ʁo˩	ɕ i ˧ ʈʂʰ wæ ˧ ʁ o ˩  
ɕi˩ɻ˩	ɕ i ˩ ɻ ˩  
ɕjo˩li˧	ɕ jo ˩ l i ˧  
ɕjo˩ɕjɑ˩˥	ɕ jo ˩ ɕ j ɑ ˩˥  
ɕjɑ˧tɕo˧ki˧	ɕ j ɑ ˧ tɕ o ˧ k i ˧  
ɕjɤ˧kv̩˥mæ˩	ɕ jɤ ˧ k v̩ ˥ m æ ˩  
ɕjɤ˩tʰv̩˧kv̩˥	ɕ jɤ ˩ tʰ v̩ ˧ k v̩ ˥  
ɕjɤ˩tʰv̩˩kv̩˥mæ˩	ɕ jɤ ˩ tʰ v̩ ˩ k v̩ ˥ m æ ˩  
ɖwæ	ɖ wæ  
ɖwæ˧kv̩˥	ɖ wæ ˧ k v̩ ˥  
ɖwæ˩mɤ˧zo˧ze˧	ɖ wæ ˩ m ɤ ˧ z o ˧ z e ˧  
ɖæ˧	ɖ æ ˧  
ɖæ˩	ɖ æ ˩  
ɖæ˩dʑo˩	ɖ æ ˩ dʑ o ˩  
ɖæ˩mi˧hĩ˧ni˧gv̩˧	ɖ æ ˩ m i ˧ h ĩ ˧ n i ˧ g v̩ ˧  
ɖæ˩mi˧qo˧	ɖ æ ˩ m i ˧ q o ˧  
ɖæ˩mi˧qo˧ɳ	ɖ æ ˩ m i ˧ q o ˧ ɳ  
ɖæ˩mi˧sɯ˩pʰi˩ɻ̍˩ɳɯ˩dʑo˩	ɖ æ ˩ m i ˧ s ɯ ˩ pʰ i ˩ ɻ̍ ˩ ɳ ɯ ˩ dʑ o ˩  
ɖæ˩mi˧sɯ˩pʰi˩ʈʂʰɯ˩dʑo˩	ɖ æ ˩ m i ˧ s ɯ ˩ pʰ i ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
ɖæ˩mi˧z	ɖ æ ˩ m i ˧ z  
ɖæ˩mi˧ɳɯ˧qo˧	ɖ æ ˩ m i ˧ ɳ ɯ ˧ q o ˧  
ɖæ˩mi˧ɻ̍˩ɳɯ˩	ɖ æ ˩ m i ˧ ɻ̍ ˩ ɳ ɯ ˩  
ɖæ˩ze˩tsɯ˩	ɖ æ ˩ z e ˩ ts ɯ ˩  
ɖɯ˥kv̩˩	ɖ ɯ ˥ k v̩ ˩  
ɖɯ˥kv̩˩ze˩	ɖ ɯ ˥ k v̩ ˩ z e ˩  
ɖɯ˥ʈʂɤ˩kv̩˩mæ˩	ɖ ɯ ˥ ʈʂ ɤ ˩ k v̩ ˩ m æ ˩  
ɖɯ˧bi˧	ɖ ɯ ˧ b i ˧  
ɖɯ˧bv̩˧ʈʂɯ˥	ɖ ɯ ˧ b v̩ ˧ ʈʂ ɯ ˥  
ɖɯ˧bv̩˧ʈʂɯ˥ɖɯ˩bv̩˩ʈʂɯ˩	ɖ ɯ ˧ b v̩ ˧ ʈʂ ɯ ˥ ɖ ɯ ˩ b v̩ ˩ ʈʂ ɯ ˩  
ɖɯ˧bæ˧lɑ˧	ɖ ɯ ˧ b æ ˧ l ɑ ˧  
ɖɯ˧bæ˧qo˧ɳɯ˧	ɖ ɯ ˧ b æ ˧ q o ˧ ɳ ɯ ˧  
ɖɯ˧bɤ˧	ɖ ɯ ˧ b ɤ ˧  
ɖɯ˧di˩	ɖ ɯ ˧ d i ˩  
ɖɯ˧di˩qo˩	ɖ ɯ ˧ d i ˩ q o ˩  
ɖɯ˧di˩qo˩dʑo˩	ɖ ɯ ˧ d i ˩ q o ˩ dʑ o ˩  
ɖɯ˧di˩qo˩tʰv̩˩dʑo˩	ɖ ɯ ˧ d i ˩ q o ˩ tʰ v̩ ˩ dʑ o ˩  
ɖɯ˧di˩ɻ̍˩qo˩	ɖ ɯ ˧ d i ˩ ɻ̍ ˩ q o ˩  
ɖɯ˧dv̩˩ɖɯ˩dv̩˩	ɖ ɯ ˧ d v̩ ˩ ɖ ɯ ˩ d v̩ ˩  
ɖɯ˧dzi˧hĩ˧tʰv̩˧dʑo˩	ɖ ɯ ˧ dz i ˧ h ĩ ˧ tʰ v̩ ˧ dʑ o ˩  
ɖɯ˧dzi˩ɳɯ˩	ɖ ɯ ˧ dz i ˩ ɳ ɯ ˩  
ɖɯ˧dzi˩ɻ̩˩	ɖ ɯ ˧ dz i ˩ ɻ̩ ˩  
ɖɯ˧gɤ˧ɳɯ˥	ɖ ɯ ˧ g ɤ ˧ ɳ ɯ ˥  
ɖɯ˧ho˩	ɖ ɯ ˧ h o ˩  
ɖɯ˧hɑ̃˧	ɖ ɯ ˧ h ɑ̃ ˧  
ɖɯ˧hɑ̃˧ɳɯ˥	ɖ ɯ ˧ h ɑ̃ ˧ ɳ ɯ ˥  
ɖɯ˧hɑ̃˧˥	ɖ ɯ ˧ h ɑ̃ ˧˥  
ɖɯ˧k	ɖ ɯ ˧ k  
ɖɯ˧ki˩ɻ̍˩	ɖ ɯ ˧ k i ˩ ɻ̍ ˩  
ɖɯ˧kv̩˧ze˥mv̩˩	ɖ ɯ ˧ k v̩ ˧ z e ˥ m v̩ ˩  
ɖɯ˧kv̩˧˥	ɖ ɯ ˧ k v̩ ˧˥  
ɖɯ˧kɤ˧	ɖ ɯ ˧ k ɤ ˧  
ɖɯ˧kɤ˧ɖɯ˥kɤ˩	ɖ ɯ ˧ k ɤ ˧ ɖ ɯ ˥ k ɤ ˩  
ɖɯ˧kɤ˩ɖɯ˩kɤ˩	ɖ ɯ ˧ k ɤ ˩ ɖ ɯ ˩ k ɤ ˩  
ɖɯ˧kʰv̩˥	ɖ ɯ ˧ kʰ v̩ ˥  
ɖɯ˧kʰv̩˥dʑo˩	ɖ ɯ ˧ kʰ v̩ ˥ dʑ o ˩  
ɖɯ˧kʰv̩˧	ɖ ɯ ˧ kʰ v̩ ˧  
ɖɯ˧kʰv̩˧hĩ˧bv̩˧	ɖ ɯ ˧ kʰ v̩ ˧ h ĩ ˧ b v̩ ˧  
ɖɯ˧kʰv̩˧hĩ˥	ɖ ɯ ˧ kʰ v̩ ˧ h ĩ ˥  
ɖɯ˧kʰv̩˧lɑ˥	ɖ ɯ ˧ kʰ v̩ ˧ l ɑ ˥  
ɖɯ˧kʰwɤ˥sɯ˩	ɖ ɯ ˧ kʰ wɤ ˥ s ɯ ˩  
ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩lɑ˩	ɖ ɯ ˧ kʰ wɤ ˥ ɖ ɯ ˩ kʰ wɤ ˩ l ɑ ˩  
ɖɯ˧kʰɤ˧ɖɯ˥kʰɤ˩	ɖ ɯ ˧ kʰ ɤ ˧ ɖ ɯ ˥ kʰ ɤ ˩  
ɖɯ˧kʰɯ˥bi˩	ɖ ɯ ˧ kʰ ɯ ˥ b i ˩  
ɖɯ˧kʰɯ˩lɑ˩	ɖ ɯ ˧ kʰ ɯ ˩ l ɑ ˩  
ɖɯ˧kʰɯ˩qo˩	ɖ ɯ ˧ kʰ ɯ ˩ q o ˩  
ɖɯ˧kʰɯ˩ɳɯ˩	ɖ ɯ ˧ kʰ ɯ ˩ ɳ ɯ ˩  
ɖɯ˧li˧ɻ̍˩	ɖ ɯ ˧ l i ˧ ɻ̍ ˩  
ɖɯ˧li˧ɻ̍˩dʑo˩	ɖ ɯ ˧ l i ˧ ɻ̍ ˩ dʑ o ˩  
ɖɯ˧lv̩˩ɻ̍˩ki˩	ɖ ɯ ˧ l v̩ ˩ ɻ̍ ˩ k i ˩  
ɖɯ˧mi˩	ɖ ɯ ˧ m i ˩  
ɖɯ˧mɤ	ɖ ɯ ˧ m ɤ  
ɖɯ˧mɤ˧kv̩˧˥	ɖ ɯ ˧ m ɤ ˧ k v̩ ˧˥  
ɖɯ˧njɤ˥	ɖ ɯ ˧ n jɤ ˥  
ɖɯ˧pi˧	ɖ ɯ ˧ p i ˧  
