Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char	Lev_dist_char
nɯ kɯnɤ nɯkɯsɤmtshi ɣɤʑu	nɯ kɯnɤ nɯkɯsɤmtshi ɣɤʑu	['n', 'ɯ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'n', 'ɯ', 'k', 'ɯ', 's', 'ɤ', 'm', 't', 's', 'h', 'i', 'S', 'ɣ', 'ɤ', 'ʑ', 'u']	['n', 'ɯ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'n', 'ɯ', 'k', 'ɯ', 's', 'ɤ', 'm', 't', 's', 'h', 'i', 'S', 'ɣ', 'ɤ', 'ʑ', 'u']	1.0	1.0	1.0	1.0
iɕqha kha ɣɯ pɯwɯ nɯnɯ tɕe ɯkɯnɯβdaʁ ɣɤʑu tɕe nɯnɯ kɤndza mɯpjɤnɤz	iɕqha kha ɣɯ pɯwɯ nɯnɯ tɕe ɯkɯnɯβdaʁ ɣɤʑu tɕe nɯnɯ kɤndza mɯpjɤnɤz	['i', 'ɕ', 'q', 'h', 'a', 'S', 'k', 'h', 'a', 'S', 'ɣ', 'ɯ', 'S', 'p', 'ɯ', 'w', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'k', 'ɯ', 'n', 'ɯ', 'β', 'd', 'a', 'ʁ', 'S', 'ɣ', 'ɤ', 'ʑ', 'u', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɤ', 'n', 'd', 'z', 'a', 'S', 'm', 'ɯ', 'p', 'j', 'ɤ', 'n', 'ɤ', 'z']	['i', 'ɕ', 'q', 'h', 'a', 'S', 'k', 'h', 'a', 'S', 'ɣ', 'ɯ', 'S', 'p', 'ɯ', 'w', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'k', 'ɯ', 'n', 'ɯ', 'β', 'd', 'a', 'ʁ', 'S', 'ɣ', 'ɤ', 'ʑ', 'u', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɤ', 'n', 'd', 'z', 'a', 'S', 'm', 'ɯ', 'p', 'j', 'ɤ', 'n', 'ɤ', 'z']	1.0	1.0	1.0	1.0
tɕe nɯ hanɯni mɤnaχtɕɯɣ	tɕe nɯ hanɯni mɤnaχtɕɯɣ	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'h', 'a', 'n', 'ɯ', 'n', 'i', 'S', 'm', 'ɤ', 'n', 'a', 'χ', 't', 'ɕ', 'ɯ', 'ɣ']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'h', 'a', 'n', 'ɯ', 'n', 'i', 'S', 'm', 'ɤ', 'n', 'a', 'χ', 't', 'ɕ', 'ɯ', 'ɣ']	1.0	1.0	1.0	1.0
tutɯ tɤtɯta ŋu tɕe	tɤtɯta ŋu tɕe	['t', 'u', 't', 'ɯ', 'S', 't', 'ɤ', 't', 'ɯ', 't', 'a', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	['t', '*', '*', '*', '*', '*', 'ɤ', 't', 'ɯ', 't', 'a', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	0.793	0.9	0.833	0.8333333333333334
tɕendɤre praʁ ra jɤsɯpjɤl tɕe nɤkinɯ	tɕendɤre praʁ ra jɤsɯpjɤl tɕe nɤkinɯ	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'p', 'r', 'a', 'ʁ', 'S', 'r', 'a', 'S', 'j', 'ɤ', 's', 'ɯ', 'p', 'j', 'ɤ', 'l', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'p', 'r', 'a', 'ʁ', 'S', 'r', 'a', 'S', 'j', 'ɤ', 's', 'ɯ', 'p', 'j', 'ɤ', 'l', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ']	1.0	1.0	1.0	1.0
tɕendɤre nɤkinɯ kɯlɤɣ tɤpɤtso nɯ ɯsɯmpa tɕe masɤrɯrju ɲɯnɤre pjɤŋu	tɕendɤre nɤkinɯ kɯlɤɣ tɤpɤtso nɯ ɯsɯmpa tɕe masɤrɯrju ɲɯnɤre pjɤŋu	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'l', 'ɤ', 'ɣ', 'S', 't', 'ɤ', 'p', 'ɤ', 't', 's', 'o', 'S', 'n', 'ɯ', 'S', 'ɯ', 's', 'ɯ', 'm', 'p', 'a', 'S', 't', 'ɕ', 'e', 'S', 'm', 'a', 's', 'ɤ', 'r', 'ɯ', 'r', 'j', 'u', 'S', 'ɲ', 'ɯ', 'n', 'ɤ', 'r', 'e', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'l', 'ɤ', 'ɣ', 'S', 't', 'ɤ', 'p', 'ɤ', 't', 's', 'o', 'S', 'n', 'ɯ', 'S', 'ɯ', 's', 'ɯ', 'm', 'p', 'a', 'S', 't', 'ɕ', 'e', 'S', 'm', 'a', 's', 'ɤ', 'r', 'ɯ', 'r', 'j', 'u', 'S', 'ɲ', 'ɯ', 'n', 'ɤ', 'r', 'e', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	1.0	1.0	1.0	1.0
ma nɯnɯ ɟɤwɤt ŋu	ma nɯnɯ ɟɤwɤtn ŋu	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'ɟ', 'ɤ', 'w', 'ɤ', 't', '*', 'S', 'ŋ', 'u']	['m', 'a', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'ɟ', 'ɤ', 'w', 'ɤ', 't', 'n', 'S', 'ŋ', 'u']	0.9	0.972	0.917	0.96875
ɯnɯnɯ tɕe tɕe qambalɯla nɯ fanzheng qajɯ ci ndɤre ɕti	ɯnɯnɯ tɕe tɕe qambalɯla nɯ fa ntsɯ qajɯ ci ndɤre ɕti	['ɯ', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'q', 'a', 'm', 'b', 'a', 'l', 'ɯ', 'l', 'a', 'S', 'n', 'ɯ', 'S', 'f', 'a', 'n', 'z', 'h', 'e', 'n', 'g', 'S', 'q', 'a', 'j', 'ɯ', 'S', 'c', 'i', 'S', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɕ', 't', 'i']	['ɯ', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'q', 'a', 'm', 'b', 'a', 'l', 'ɯ', 'l', 'a', 'S', 'n', 'ɯ', 'S', 'f', 'a', '*', 'S', 'n', 't', 's', 'ɯ', 'S', 'q', 'a', 'j', 'ɯ', 'S', 'c', 'i', 'S', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɕ', 't', 'i']	0.753	0.883	0.844	0.9519230769230769
tɕe nɯ qapar nɯnɯ li wuma ʑo kɯŋɤn tɕe	tɕe nɯ qapar nɯnɯ li wuma ʑo kɯŋɤn tɕe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'p', 'a', 'r', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'l', 'i', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'k', 'ɯ', 'ŋ', 'ɤ', 'n', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'q', 'a', 'p', 'a', 'r', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'l', 'i', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'k', 'ɯ', 'ŋ', 'ɤ', 'n', 'S', 't', 'ɕ', 'e']	1.0	1.0	1.0	1.0
ʑɯmkhɤm ɯku sɤtɕha kɯkukɯrɤʑi ra nɯ ɯŋgɯz tɕe stu kɯmɤɕi stu kɯχɕu nɯra ɲɯŋu toti	ʁʑɯŋkhɤm k kɯki sɤtɕha ɯkɯ kukɯrɤʑiɯ ra nɯ ɯŋgɯɯ tɕe stu kɯmɤɕi stu kɯχɕu nɯra ɲɯŋu toti	['*', 'ʑ', 'ɯ', 'm', 'k', 'h', 'ɤ', 'm', 'S', '*', '*', '*', 'ɯ', 'k', 'u', 'S', 's', 'ɤ', 't', 'ɕ', 'h', 'a', 'S', '*', 'k', 'ɯ', '*', 'k', 'u', 'k', 'ɯ', 'r', 'ɤ', 'ʑ', 'i', '*', 'S', 'r', 'a', 'S', 'n', 'ɯ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'z', 'S', 't', 'ɕ', 'e', 'S', 's', 't', 'u', 'S', 'k', 'ɯ', 'm', 'ɤ', 'ɕ', 'i', 'S', 's', 't', 'u', 'S', 'k', 'ɯ', 'χ', 'ɕ', 'u', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'o', 't', 'i']	['ʁ', 'ʑ', 'ɯ', 'ŋ', 'k', 'h', 'ɤ', 'm', 'S', 'k', 'S', 'k', 'ɯ', 'k', 'i', 'S', 's', 'ɤ', 't', 'ɕ', 'h', 'a', 'S', 'ɯ', 'k', 'ɯ', 'S', 'k', 'u', 'k', 'ɯ', 'r', 'ɤ', 'ʑ', 'i', 'ɯ', 'S', 'r', 'a', 'S', 'n', 'ɯ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 's', 't', 'u', 'S', 'k', 'ɯ', 'm', 'ɤ', 'ɕ', 'i', 'S', 's', 't', 'u', 'S', 'k', 'ɯ', 'χ', 'ɕ', 'u', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'ɲ', 'ɯ', 'ŋ', 'u', 'S', 't', 'o', 't', 'i']	0.836	0.911	0.896	0.9404761904761905
qhe langfei ɲɯsɯxɕe ɕti ɣɯβde ra ma	qhe nɯ langfei ɲɯsɯxɕe ɕti ɣɯβde ra ma	['q', 'h', 'e', 'S', '*', '*', '*', 'l', 'a', 'n', 'g', 'f', 'e', 'i', 'S', 'ɲ', 'ɯ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 'ɕ', 't', 'i', 'S', 'ɣ', 'ɯ', 'β', 'd', 'e', 'S', 'r', 'a', 'S', 'm', 'a']	['q', 'h', 'e', 'S', 'n', 'ɯ', 'S', 'l', 'a', 'n', 'g', 'f', 'e', 'i', 'S', 'ɲ', 'ɯ', 's', 'ɯ', 'x', 'ɕ', 'e', 'S', 'ɕ', 't', 'i', 'S', 'ɣ', 'ɯ', 'β', 'd', 'e', 'S', 'r', 'a', 'S', 'm', 'a']	0.929	0.959	0.955	0.9583333333333334
tɕe nɯnɯ nɤkinɯ kɯpɤz nɯnɯ nɯnɯ tuste tɕe iʑora	tɕe nɯnɯ nɤkinɯ kɯpɤz nɯnɯ nɯnɯ tuste tɕe iʑora	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'p', 'ɤ', 'z', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'u', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 'i', 'ʑ', 'o', 'r', 'a']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'k', 'ɯ', 'p', 'ɤ', 'z', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'u', 's', 't', 'e', 'S', 't', 'ɕ', 'e', 'S', 'i', 'ʑ', 'o', 'r', 'a']	1.0	1.0	1.0	1.0
tɕendɤre iɕqha nɯ nɯ kɤntɕhaʁ ɯŋgɯ tɯrme nɯra kɯ nɤki nɯnɯ pjɤ ɲɯsɤfɕɤranɯ pjɤŋu nɯ wuma ʑo ɲɯmpɕɤr khi nɯra tutinɯ pjɤŋu	tɕendɤre iɕqha nɯ nɯnɯ kɤtɕhaʁ ɯŋgɯ tɯrme nɯra kɯ nɤki nɯnɯ ɲɯsɤfɕaranɯ pjɤŋu nɯ wuma ʑo ɲɯmpɕɤrkhi nɯra tutinɯ pjɤŋu	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɯ', '*', '*', 'S', 'k', 'ɤ', 'n', 't', 'ɕ', 'h', 'a', 'ʁ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'S', 'ɲ', 'ɯ', 's', 'ɤ', 'f', 'ɕ', 'ɤ', 'r', 'a', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u', 'S', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'ɲ', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'k', 'h', 'i', 'S', 'n', 'ɯ', 'r', 'a', 'S', 't', 'u', 't', 'i', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɤ', '*', 't', 'ɕ', 'h', 'a', 'ʁ', 'S', 'ɯ', 'ŋ', 'g', 'ɯ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'n', 'ɯ', '*', '*', '*', '*', 'S', 'ɲ', 'ɯ', 's', 'ɤ', 'f', 'ɕ', 'a', 'r', 'a', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u', 'S', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'ɲ', 'ɯ', 'm', 'p', 'ɕ', 'ɤ', 'r', '*', 'k', 'h', 'i', 'S', 'n', 'ɯ', 'r', 'a', 'S', 't', 'u', 't', 'i', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u']	0.939	0.954	0.929	0.9620253164556962
tɕe tɯrme khɯkhro kɯ ʑo ɣɯtorɤtshɤtnɯ tɕe	tɕe tɯrme khɯkhro kɯ ʑo ɣɯtorɤtshɤtnɯ tɕe	['t', 'ɕ', 'e', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'k', 'h', 'ɯ', 'k', 'h', 'r', 'o', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'ɣ', 'ɯ', 't', 'o', 'r', 'ɤ', 't', 's', 'h', 'ɤ', 't', 'n', 'ɯ', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'k', 'h', 'ɯ', 'k', 'h', 'r', 'o', 'S', 'k', 'ɯ', 'S', 'ʑ', 'o', 'S', 'ɣ', 'ɯ', 't', 'o', 'r', 'ɤ', 't', 's', 'h', 'ɤ', 't', 'n', 'ɯ', 'S', 't', 'ɕ', 'e']	1.0	1.0	1.0	1.0
kɯnɯɕɯʁjɯ manɯtɯnɯɕɯʁjɯ 	tɕekɯnɯɕɯʁjɯ mɤnɯtɯnɯɕɯʁjɯ	['*', '*', '*', 'k', 'ɯ', 'n', 'ɯ', 'ɕ', 'ɯ', 'ʁ', 'j', 'ɯ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'n', 'ɯ', 'ɕ', 'ɯ', 'ʁ', 'j', 'ɯ', 'S']	['t', 'ɕ', 'e', 'k', 'ɯ', 'n', 'ɯ', 'ɕ', 'ɯ', 'ʁ', 'j', 'ɯ', 'S', 'm', 'ɤ', 'n', 'ɯ', 't', 'ɯ', 'n', 'ɯ', 'ɕ', 'ɯ', 'ʁ', 'j', 'ɯ', '*']	0.626	0.705	0.808	0.8979591836734694
tɕendɤre nɯnɯ tɤrpi tɯɣjɤn nɯra ɲɤsɯβzunɯ pjɤ pjɤra khi ma	tɕendɤre nɯnɯ tɤrpi tɯɣjɤn nɯra ɲɤsɯβzunɯ pjɤpjɤra khi ma	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'p', 'i', 'S', 't', 'ɯ', 'ɣ', 'j', 'ɤ', 'n', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 'S', 'p', 'j', 'ɤ', 'r', 'a', 'S', 'k', 'h', 'i', 'S', 'm', 'a']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'ɤ', 'r', 'p', 'i', 'S', 't', 'ɯ', 'ɣ', 'j', 'ɤ', 'n', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'ɲ', 'ɤ', 's', 'ɯ', 'β', 'z', 'u', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', '*', 'p', 'j', 'ɤ', 'r', 'a', 'S', 'k', 'h', 'i', 'S', 'm', 'a']	0.954	0.957	0.995	0.9912280701754386
nɯnɯ jla nɯra doŋtsi tutinɯ rɟandzi tutinɯ	nɯnɯ jla nɯra mdoŋtsi trɟandzi tutinɯ ŋɯ	['n', 'ɯ', 'n', 'ɯ', 'S', 'j', 'l', 'a', 'S', 'n', 'ɯ', 'r', 'a', 'S', '*', 'd', 'o', 'ŋ', 't', 's', 'i', 'S', 't', 'u', 't', 'i', 'n', 'ɯ', 'S', 'r', 'ɟ', 'a', 'n', 'd', 'z', 'i', 'S', 't', 'u', 't', 'i', 'n', '*', '*', '*', 'ɯ']	['n', 'ɯ', 'n', 'ɯ', 'S', 'j', 'l', 'a', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'm', 'd', 'o', 'ŋ', 't', 's', 'i', 'S', 't', '*', '*', '*', '*', '*', '*', 'r', 'ɟ', 'a', 'n', 'd', 'z', 'i', 'S', 't', 'u', 't', 'i', 'n', 'ɯ', 'S', 'ŋ', 'ɯ']	0.812	0.841	0.862	0.8765432098765432
ʑɤni kɯnɤ chɤrɤrɟitndʑi ndʑirɟit nɯra chɤrɤrɟitnɯ	ʑɤni kɯnɤ chɤrɤrɟɯtndʑindʑirɟit nɯra chɤrɤrɟitnɯ	['ʑ', 'ɤ', 'n', 'i', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'c', 'h', 'ɤ', 'r', 'ɤ', 'r', 'ɟ', 'i', 't', 'n', 'd', 'ʑ', 'i', 'S', 'n', 'd', 'ʑ', 'i', 'r', 'ɟ', 'i', 't', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'c', 'h', 'ɤ', 'r', 'ɤ', 'r', 'ɟ', 'i', 't', 'n', 'ɯ']	['ʑ', 'ɤ', 'n', 'i', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'c', 'h', 'ɤ', 'r', 'ɤ', 'r', 'ɟ', 'ɯ', 't', 'n', 'd', 'ʑ', 'i', '*', 'n', 'd', 'ʑ', 'i', 'r', 'ɟ', 'i', 't', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'c', 'h', 'ɤ', 'r', 'ɤ', 'r', 'ɟ', 'i', 't', 'n', 'ɯ']	0.91	0.917	0.976	0.9791666666666666
tɕhi xtsɤrtɯm tutinɯ cho naχtɕɯɣ	tɕhe xtsɤrtɯm tutiɯ nɤ chonaχtɕɯɣ	['t', 'ɕ', 'h', 'i', 'S', 'x', 't', 's', 'ɤ', 'r', 't', 'ɯ', 'm', 'S', 't', 'u', 't', 'i', '*', '*', 'n', 'ɯ', 'S', 'c', 'h', 'o', 'S', 'n', 'a', 'χ', 't', 'ɕ', 'ɯ', 'ɣ']	['t', 'ɕ', 'h', 'e', 'S', 'x', 't', 's', 'ɤ', 'r', 't', 'ɯ', 'm', 'S', 't', 'u', 't', 'i', 'ɯ', 'S', 'n', 'ɤ', 'S', 'c', 'h', 'o', '*', 'n', 'a', 'χ', 't', 'ɕ', 'ɯ', 'ɣ']	0.838	0.846	0.896	0.921875
kha kɯɕnɤrtsɤɣ kɯrcɤxtsɤɣ jamar kɯmbro tuβze ɲɯcha ri	kha kɯɕnɤrtsɤɣ kɯscɤxtsɤɣ jamar kɯmbro kɯfse tuβze ɲɯcha ri	['k', 'h', 'a', 'S', 'k', 'ɯ', 'ɕ', 'n', 'ɤ', 'r', 't', 's', 'ɤ', 'ɣ', 'S', 'k', 'ɯ', 'r', 'c', 'ɤ', 'x', 't', 's', 'ɤ', 'ɣ', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'k', 'ɯ', 'm', 'b', 'r', 'o', '*', '*', '*', '*', '*', '*', 'S', 't', 'u', 'β', 'z', 'e', 'S', 'ɲ', 'ɯ', 'c', 'h', 'a', 'S', 'r', 'i']	['k', 'h', 'a', 'S', 'k', 'ɯ', 'ɕ', 'n', 'ɤ', 'r', 't', 's', 'ɤ', 'ɣ', 'S', 'k', 'ɯ', 's', 'c', 'ɤ', 'x', 't', 's', 'ɤ', 'ɣ', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'k', 'ɯ', 'm', 'b', 'r', 'o', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 't', 'u', 'β', 'z', 'e', 'S', 'ɲ', 'ɯ', 'c', 'h', 'a', 'S', 'r', 'i']	0.882	0.903	0.954	0.9369369369369369
ma tɕe nɯ kúwɣsɤlɤɣɯ ndɤre mɯpɯ́wɣrɲo	matɕe nɯkɯ skuwɣsɤlɤɣɯt ndɤre mɯpúwɣrɲo	['m', 'a', 'S', 't', 'ɕ', 'e', 'S', 'n', '*', '*', 'ɯ', 'S', '*', 'k', 'u', '́', 'w', 'ɣ', 's', 'ɤ', 'l', 'ɤ', 'ɣ', 'ɯ', '*', 'S', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'ɯ', 'p', 'ɯ', '́', 'w', 'ɣ', 'r', 'ɲ', 'o']	['m', 'a', '*', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'k', 'ɯ', 'S', 's', 'k', 'u', '*', 'w', 'ɣ', 's', 'ɤ', 'l', 'ɤ', 'ɣ', 'ɯ', 't', 'S', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'ɯ', 'p', 'u', '́', 'w', 'ɣ', 'r', 'ɲ', 'o']	0.862	0.852	0.911	0.9090909090909091
nɯ ra ci nɯ kɯ jɤ́wɣtsɯm ɯkhɯkha rɤɣo ra chɯnɯβze pjɤŋu 	nɯra ci nɯ kɯ jɤ́wɣtsɯm ɯkhɯkha rɤɣo ra chɯnɯβze pjɤŋu	['n', 'ɯ', 'S', 'r', 'a', 'S', 'c', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'j', 'ɤ', '́', 'w', 'ɣ', 't', 's', 'ɯ', 'm', 'S', 'ɯ', 'k', 'h', 'ɯ', 'k', 'h', 'a', 'S', 'r', 'ɤ', 'ɣ', 'o', 'S', 'r', 'a', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 'β', 'z', 'e', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u', 'S']	['n', 'ɯ', '*', 'r', 'a', 'S', 'c', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'j', 'ɤ', '́', 'w', 'ɣ', 't', 's', 'ɯ', 'm', 'S', 'ɯ', 'k', 'h', 'ɯ', 'k', 'h', 'a', 'S', 'r', 'ɤ', 'ɣ', 'o', 'S', 'r', 'a', 'S', 'c', 'h', 'ɯ', 'n', 'ɯ', 'β', 'z', 'e', 'S', 'p', 'j', 'ɤ', 'ŋ', 'u', '*']	0.956	0.96	0.993	0.981651376146789
tɕe tɤŋkhɯt jamar kɯtu tu nɯ sthɯci kɯme tu	tɕe tɤŋkhɯt jamar kɯtu tu nɯsthɯci kɯme tu	['t', 'ɕ', 'e', 'S', 't', 'ɤ', 'ŋ', 'k', 'h', 'ɯ', 't', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'k', 'ɯ', 't', 'u', 'S', 't', 'u', 'S', 'n', 'ɯ', 'S', 's', 't', 'h', 'ɯ', 'c', 'i', 'S', 'k', 'ɯ', 'm', 'e', 'S', 't', 'u']	['t', 'ɕ', 'e', 'S', 't', 'ɤ', 'ŋ', 'k', 'h', 'ɯ', 't', 'S', 'j', 'a', 'm', 'a', 'r', 'S', 'k', 'ɯ', 't', 'u', 'S', 't', 'u', 'S', 'n', 'ɯ', '*', 's', 't', 'h', 'ɯ', 'c', 'i', 'S', 'k', 'ɯ', 'm', 'e', 'S', 't', 'u']	0.944	0.947	0.993	0.9880952380952381
ɯmdoʁ nɯnɯ kɯɲaʁ tu kɯɤrɯldʑaŋkɯ tu kɯqarŋɯrŋe tu	zdɯmqe nɯ ɯmdoʁ nɯnɯ kɯɲaʁ tu kɯɤrɯldʑɤmkɯ tu kɯɤqarŋɯrŋe tu	['*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'ɯ', 'm', 'd', 'o', 'ʁ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'ɲ', 'a', 'ʁ', 'S', 't', 'u', 'S', 'k', 'ɯ', 'ɤ', 'r', 'ɯ', 'l', 'd', 'ʑ', 'a', 'ŋ', 'k', 'ɯ', 'S', 't', 'u', 'S', 'k', 'ɯ', '*', 'q', 'a', 'r', 'ŋ', 'ɯ', 'r', 'ŋ', 'e', 'S', 't', 'u']	['z', 'd', 'ɯ', 'm', 'q', 'e', 'S', 'n', 'ɯ', 'S', 'ɯ', 'm', 'd', 'o', 'ʁ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'ɲ', 'a', 'ʁ', 'S', 't', 'u', 'S', 'k', 'ɯ', 'ɤ', 'r', 'ɯ', 'l', 'd', 'ʑ', 'ɤ', 'm', 'k', 'ɯ', 'S', 't', 'u', 'S', 'k', 'ɯ', 'ɤ', 'q', 'a', 'r', 'ŋ', 'ɯ', 'r', 'ŋ', 'e', 'S', 't', 'u']	0.777	0.79	0.921	0.8796296296296297
