tɕe	t ɕ e
tutɯjoʁ	t u t ɯ j o ʁ
tutɯmbro	t u t ɯ m b r o
tutɯmtshi	t u t ɯ m t s h i
tutɯmɤrpaʁ	t u t ɯ m ɤ r p a ʁ
tutɯmɯrki	t u t ɯ m ɯ r k i
tutɯnɤrkɤm	t u t ɯ n ɤ r k ɤ m
tutɯnɤrɟɯrɟɯɣ	t u t ɯ n ɤ r ɟ ɯ r ɟ ɯ ɣ
tutɯnɤrʑaʁ	t u t ɯ n ɤ r ʑ a ʁ
tutɯnɯndze	t u t ɯ n ɯ n d z e
tutɯnɯrtɯrtoʁ	t u t ɯ n ɯ r t ɯ r t o ʁ
tutɯnɯsmɤn	t u t ɯ n ɯ s m ɤ n
tutɯnɯsnɯɲaʁ	t u t ɯ n ɯ s n ɯ ɲ a ʁ
tutɯnɯsɯmŋɤn	t u t ɯ n ɯ s ɯ m ŋ ɤ n
tutɯnɯɬoʁ	t u t ɯ n ɯ ɬ o ʁ
tutɯnɯβze	t u t ɯ n ɯ β z e
tutɯpe	t u t ɯ p e
tutɯqhe	t u t ɯ q h e
tutɯqur	t u t ɯ q u r
tutɯstat	t u t ɯ s t a t
tutɯste	t u t ɯ s t e
tutɯsɤɕke	t u t ɯ s ɤ ɕ k e
tutɯwɣrum	t u t ɯ w ɣ r u m
tutɯzmɯrʁɯz	t u t ɯ z m ɯ r ʁ ɯ z
tutɯŋke	t u t ɯ ŋ k e
tutɯɕe	t u t ɯ ɕ e
tutɯɣ	t u t ɯ ɣ
tutɯɣɯt	t u t ɯ ɣ ɯ t
tutɯɬoʁnɯ	t u t ɯ ɬ o ʁ n ɯ
tutɯɲɟɯ	t u t ɯ ɲ ɟ ɯ
tutɯʑa	t u t ɯ ʑ a
tutɯʑŋganɯ	t u t ɯ ʑ ŋ g a n ɯ
tutɯ́wɣnɤkhe	t u t ɯ ́ w ɣ n ɤ k h e
tutɯ́wɣnɤma	t u t ɯ ́ w ɣ n ɤ m a
tutɯ́wɣnɤʁndɯʁndɯ	t u t ɯ ́ w ɣ n ɤ ʁ n d ɯ ʁ n d ɯ
tutɯ́wɣqur	t u t ɯ ́ w ɣ q u r
tuwɣnɯndza	t u w ɣ n ɯ n d z a
tuwɣχtsɤβ	t u w ɣ χ t s ɤ β
tuxsɯrnɯ	t u x s ɯ r n ɯ
tuxtshɯm	t u x t s h ɯ m
tuxtsɯɣ	t u x t s ɯ ɣ
tuz	t u z
tuzmɯnme	t u z m ɯ n m e
tuzmɯrmbi	t u z m ɯ r m b i
tuznaχɕɯχɕu	t u z n a χ ɕ ɯ χ ɕ u
tuznɤjpɯjpe	t u z n ɤ j p ɯ j p e
tuznɤmanɯ	t u z n ɤ m a n ɯ
tuznɤndɤr	t u z n ɤ n d ɤ r
tuznɤtɯɣnɯ	t u z n ɤ t ɯ ɣ n ɯ
tuznɤŋɯŋunɯ	t u z n ɤ ŋ ɯ ŋ u n ɯ
tuznɤχɕɯχɕu	t u z n ɤ χ ɕ ɯ χ ɕ u
tuznɯkhɤm	t u z n ɯ k h ɤ m
tuznɯne	t u z n ɯ n e
tuznɯstunɯ	t u z n ɯ s t u n ɯ
tuznɯtɕhala	t u z n ɯ t ɕ h a l a
tuznɯxsi	t u z n ɯ x s i
tuznɯɕpɯznɯ	t u z n ɯ ɕ p ɯ z n ɯ
tuznɯɕthɯz	t u z n ɯ ɕ t h ɯ z
tuznɯɣmbɤβ	t u z n ɯ ɣ m b ɤ β
tuzraʁrɯznɯ	t u z r a ʁ r ɯ z n ɯ
tuzrɤme	t u z r ɤ m e
tuzrɤmpɕɤrnɯ	t u z r ɤ m p ɕ ɤ r n ɯ
tuzrɤʑe	t u z r ɤ ʑ e
tuzrɯɕmi	t u z r ɯ ɕ m i
tuzɣɯtɕɯtɕɤβnɯ	t u z ɣ ɯ t ɕ ɯ t ɕ ɤ β n ɯ
tuŋgo	t u ŋ g o
tuŋgɤɣndʑi	t u ŋ g ɤ ɣ n d ʑ i
tuŋkea	t u ŋ k e a
tuŋkej	t u ŋ k e j
tuɕar	t u ɕ a r
tuɕej	t u ɕ e j
tuɕke	t u ɕ k e
tuɕkhonɯ	t u ɕ k h o n ɯ
tuɕmi	t u ɕ m i
tuɕtʂama	t u ɕ t ʂ a m a
tuɕɯfkaβ	t u ɕ ɯ f k a β
tuɕɯngɤm	t u ɕ ɯ n g ɤ m
tuɕɯŋke	t u ɕ ɯ ŋ k e
tuɣia	t u ɣ i a
tuɣlenɯ	t u ɣ l e n ɯ
tuɣɤmnea	t u ɣ ɤ m n e a
tuɣɤmtɤm	t u ɣ ɤ m t ɤ m
tuɣɤqrɤβqrɤβ	t u ɣ ɤ q r ɤ β q r ɤ β
tuɣɤrkhɤrkhɤt	t u ɣ ɤ r k h ɤ r k h ɤ t
tuɣɤroʁroʁ	t u ɣ ɤ r o ʁ r o ʁ
tuɣɤrɯβrɯβ	t u ɣ ɤ r ɯ β r ɯ β
tuɣɤtsɯr	t u ɣ ɤ t s ɯ r
tuɣɤwxti	t u ɣ ɤ w x t i
tuɣɤzoŋzoŋ	t u ɣ ɤ z o ŋ z o ŋ
tuɣɤɣɤjɣɤjnɯ	t u ɣ ɤ ɣ ɤ j ɣ ɤ j n ɯ
tuɣɤβdinɯ	t u ɣ ɤ β d i n ɯ
tuɣɤβdoʁβdinɯ	t u ɣ ɤ β d o ʁ β d i n ɯ
tuɣɯscurnɯ	t u ɣ ɯ s c u r n ɯ
tuɣɯta	t u ɣ ɯ t a
tuɣɯɕkatnɯ	t u ɣ ɯ ɕ k a t n ɯ
tuɬoʁa	t u ɬ o ʁ a
tuɬoʁi	t u ɬ o ʁ i
tuɬoʁndʑi	t u ɬ o ʁ n d ʑ i
tuɬoʁnɯ	t u ɬ o ʁ n ɯ
tuɲaʁnɯ	t u ɲ a ʁ n ɯ
tuɲɟoʁnɯ	t u ɲ ɟ o ʁ n ɯ
tuɴɢia	t u ɴ ɢ i a
tuʁjit	t u ʁ j i t
tuʁjita	t u ʁ j i t a
tuʑɣɤpanɯ	t u ʑ ɣ ɤ p a n ɯ
tuʑɣɤstu	t u ʑ ɣ ɤ s t u
tuʑɣɤɣɤmbjoma	t u ʑ ɣ ɤ ɣ ɤ m b j o m a
túwɣcɯ	t u ́ w ɣ c ɯ
túwɣdo	t u ́ w ɣ d o
túwɣfkri	t u ́ w ɣ f k r i
túwɣfskɤr	t u ́ w ɣ f s k ɤ r
túwɣltɕaʁ	t u ́ w ɣ l t ɕ a ʁ
túwɣltɕhaʁ	t u ́ w ɣ l t ɕ h a ʁ
túwɣmɯmtsrɯɣ	t u ́ w ɣ m ɯ m t s r ɯ ɣ
túwɣntɕhoznɯ	t u ́ w ɣ n t ɕ h o z n ɯ
túwɣnɤmtsioʁ	t u ́ w ɣ n ɤ m t s i o ʁ
túwɣnɤmɤla	t u ́ w ɣ n ɤ m ɤ l a
túwɣnɤstɤr	t u ́ w ɣ n ɤ s t ɤ r
túwɣnɤsɤɣdɯɣ	t u ́ w ɣ n ɤ s ɤ ɣ d ɯ ɣ
túwɣnɤβɟɯβjinɯ	t u ́ w ɣ n ɤ β ɟ ɯ β j i n ɯ
túwɣnɯkhrambaa	t u ́ w ɣ n ɯ k h r a m b a a
túwɣnɯkoni	t u ́ w ɣ n ɯ k o n i
túwɣnɯlɤmba	t u ́ w ɣ n ɯ l ɤ m b a
túwɣnɯmɲaqrɯ	t u ́ w ɣ n ɯ m ɲ a q r ɯ
túwɣnɯmɲo	t u ́ w ɣ n ɯ m ɲ o
túwɣnɯntɕhoz	t u ́ w ɣ n ɯ n t ɕ h o z
túwɣnɯnɯ	t u ́ w ɣ n ɯ n ɯ
túwɣnɯqar	t u ́ w ɣ n ɯ q a r
túwɣnɯrku	t u ́ w ɣ n ɯ r k u
túwɣnɯsmɤn	t u ́ w ɣ n ɯ s m ɤ n
túwɣnɯstu	t u ́ w ɣ n ɯ s t u
túwɣnɯsɤndu	t u ́ w ɣ n ɯ s ɤ n d u
túwɣnɯtɕɤt	t u ́ w ɣ n ɯ t ɕ ɤ t
túwɣnɯɕɤmɯɣdɯ	t u ́ w ɣ n ɯ ɕ ɤ m ɯ ɣ d ɯ
túwɣnɯɴqhu	t u ́ w ɣ n ɯ ɴ q h u
túwɣnɯɴqhɯɴqhu	t u ́ w ɣ n ɯ ɴ q h ɯ ɴ q h u
túwɣqaʁ	t u ́ w ɣ q a ʁ
túwɣqrɯ	t u ́ w ɣ q r ɯ
túwɣquranɯ	t u ́ w ɣ q u r a n ɯ
túwɣqurɣa	t u ́ w ɣ q u r ɣ a
túwɣs	t u ́ w ɣ s
túwɣsti	t u ́ w ɣ s t i
túwɣsɤrij	t u ́ w ɣ s ɤ r i j
túwɣsɤrtɯm	t u ́ w ɣ s ɤ r t ɯ m
túwɣsɤʑirja	t u ́ w ɣ s ɤ ʑ i r j a
túwɣsɯrpjɯ	t u ́ w ɣ s ɯ r p j ɯ
túwɣsɯtɕɤt	t u ́ w ɣ s ɯ t ɕ ɤ t
túwɣsɯɕmi	t u ́ w ɣ s ɯ ɕ m i
túwɣsɯɣrom	t u ́ w ɣ s ɯ ɣ r o m
túwɣsɯβzu	t u ́ w ɣ s ɯ β z u
túwɣtshɤt	t u ́ w ɣ t s h ɤ t
túwɣwum	t u ́ w ɣ w u m
túwɣznɤɣro	t u ́ w ɣ z n ɤ ɣ r o
túwɣznɯndzɯ	t u ́ w ɣ z n ɯ n d z ɯ
túwɣznɯrdoʁ	t u ́ w ɣ z n ɯ r d o ʁ
túwɣznɯslɯɣ	t u ́ w ɣ z n ɯ s l ɯ ɣ
túwɣzrɤxsɯr	t u ́ w ɣ z r ɤ x s ɯ r
túwɣzwɤr	t u ́ w ɣ z w ɤ r
túwɣɕɯŋke	t u ́ w ɣ ɕ ɯ ŋ k e
túwɣɕɯɴqoʁ	t u ́ w ɣ ɕ ɯ ɴ q o ʁ
túwɣɣle	t u ́ w ɣ ɣ l e
túwɣɣɯɕkat	t u ́ w ɣ ɣ ɯ ɕ k a t
túwɣʁndɯndʑi	t u ́ w ɣ ʁ n d ɯ n d ʑ i
túwɣβlɯ	t u ́ w ɣ β l ɯ
túwɣβraʁ	t u ́ w ɣ β r a ʁ
túwɣβzunɯ	t u ́ w ɣ β z u n ɯ
túwɣχtɕi	t u ́ w ɣ χ t ɕ i
tuβde	t u β d e
tuβlɯnɯ	t u β l ɯ n ɯ
tuβraʁnɯ	t u β r a ʁ n ɯ
tuβz	t u β z
tuχsɤl	t u χ s ɤ l
tuχtɯj	t u χ t ɯ j
tɕandu	t ɕ a n d u
tɕazga	t ɕ a z g a
tɕaŋnɤ	t ɕ a ŋ n ɤ
tɕee	t ɕ e e
tɕekɯkɯ	t ɕ e k ɯ k ɯ
tɕekɯm	t ɕ e k ɯ m
tɕeli	t ɕ e l i
tɕendɤr	t ɕ e n d ɤ r
tɕendɤreajɤtɯɕe	t ɕ e n d ɤ r e a j ɤ t ɯ ɕ e
tɕendɤrenɤkinɯ	t ɕ e n d ɤ r e n ɤ k i n ɯ
tɕendɤresangduode	t ɕ e n d ɤ r e s a n g d u o d e
tɕenɯ	t ɕ e n ɯ
tɕestu	t ɕ e s t u
tɕetɕendɤre	t ɕ e t ɕ e n d ɤ r e
tɕetɕetu	t ɕ e t ɕ e t u
tɕetɯrme	t ɕ e t ɯ r m e
tɕewoju	t ɕ e w o j u
tɕezwaʁnɤzwaʁ	t ɕ e z w a ʁ n ɤ z w a ʁ
tɕhaphu	t ɕ h a p h u
tɕhaŋkha	t ɕ h a ŋ k h a
tɕhaŋβɟaj	t ɕ h a ŋ β ɟ a j
tɕhaʁla	t ɕ h a ʁ l a
tɕhemenɯ	t ɕ h e m e n ɯ
tɕhemepɯ	t ɕ h e m e p ɯ
tɕhemeŋga	t ɕ h e m e ŋ g a
tɕhemeʁjoʁ	t ɕ h e m e ʁ j o ʁ
tɕhimi	t ɕ h i m i
tɕhorziɴqra	t ɕ h o r z i ɴ q r a
tɕhoʁtɕhoʁ	t ɕ h o ʁ t ɕ h o ʁ
tɕhɤjlɯz	t ɕ h ɤ j l ɯ z
tɕhɤphɯ	t ɕ h ɤ p h ɯ
tɕhɤrʁɯspa	t ɕ h ɤ r ʁ ɯ s p a
tɕhɤz	t ɕ h ɤ z
tɕhɯ	t ɕ h ɯ
tɕhɯlwoʁ	t ɕ h ɯ l w o ʁ
tɕhɯlɤɣrum	t ɕ h ɯ l ɤ ɣ r u m
tɕhɯndza	t ɕ h ɯ n d z a
tɕhɯqhu	t ɕ h ɯ q h u
tɕhɯskrɯt	t ɕ h ɯ s k r ɯ t
tɕhɯte	t ɕ h ɯ t e
tɕhɯtɕhɯtɕhɯt	t ɕ h ɯ t ɕ h ɯ t ɕ h ɯ t
tɕhɯwɯr	t ɕ h ɯ w ɯ r
tɕhɯʑmbri	t ɕ h ɯ ʑ m b r i
tɕhɯβroʁ	t ɕ h ɯ β r o ʁ
tɕhɯχpɯχpri	t ɕ h ɯ χ p ɯ χ p r i
tɕikha	t ɕ i k h a
tɕikhɤcɤl	t ɕ i k h ɤ c ɤ l
tɕikɤndza	t ɕ i k ɤ n d z a
tɕikɤsɯso	t ɕ i k ɤ s ɯ s o
tɕikɯβɟi	t ɕ i k ɯ β ɟ i
tɕimtso	t ɕ i m t s o
tɕimɲɯtɕhɤz	t ɕ i m ɲ ɯ t ɕ h ɤ z
tɕindʐa	t ɕ i n d ʐ a
tɕirca	t ɕ i r c a
tɕisroʁ	t ɕ i s r o ʁ
tɕistɯnmɯ	t ɕ i s t ɯ n m ɯ
tɕitaʁ	t ɕ i t a ʁ
tɕitɕitɕitɕi	t ɕ i t ɕ i t ɕ i t ɕ i
tɕitɯkrɤz	t ɕ i t ɯ k r ɤ z
tɕitʂha	t ɕ i t ʂ h a
tɕiŋga	t ɕ i ŋ g a
tɕiɕɣa	t ɕ i ɕ ɣ a
tɕiɬaʁ	t ɕ i ɬ a ʁ
tɕiʁɤri	t ɕ i ʁ ɤ r i
tɕiχti	t ɕ i χ t i
tɕo	t ɕ o
tɕunɯ	t ɕ u n ɯ
tɕurtɕurtɕur	t ɕ u r t ɕ u r t ɕ u r
tɕutɕutɕu	t ɕ u t ɕ u t ɕ u
tɕɤndere	t ɕ ɤ n d e r e
tɕɤnzɤn	t ɕ ɤ n z ɤ n
tɕɤr	t ɕ ɤ r
tɕɤt	t ɕ ɤ t
tɕɤti	t ɕ ɤ t i
tɕɤtɯtu	t ɕ ɤ t ɯ t u
tɕɦi	t ɕ ɦ i
tɕɯtɕɯtɕɯ	t ɕ ɯ t ɕ ɯ t ɕ ɯ
tɕʁɯznɤtɕʁɯz	t ɕ ʁ ɯ z n ɤ t ɕ ʁ ɯ z
tɤajtɯ	t ɤ a j t ɯ
tɤalɯlɤttɕi	t ɤ a l ɯ l ɤ t t ɕ i
tɤamɯmindʑi	t ɤ a m ɯ m i n d ʑ i
tɤanɯtsu	t ɤ a n ɯ t s u
tɤapɯpa	t ɤ a p ɯ p a
tɤari	t ɤ a r i
tɤarindʑi	t ɤ a r i n d ʑ i
tɤarinɯ	t ɤ a r i n ɯ
tɤarmbat	t ɤ a r m b a t
tɤarɕo	t ɤ a r ɕ o
tɤatʂoʁloʁ	t ɤ a t ʂ o ʁ l o ʁ
tɤazɣɯtndʑi	t ɤ a z ɣ ɯ t n d ʑ i
tɤazɣɯtnɯ	t ɤ a z ɣ ɯ t n ɯ
tɤaɕoχɕi	t ɤ a ɕ o χ ɕ i
tɤcɤβ	t ɤ c ɤ β
tɤcɯnɯ	t ɤ c ɯ n ɯ
tɤdɤn	t ɤ d ɤ n
tɤdɤnnɯ	t ɤ d ɤ n n ɯ
tɤfkur	t ɤ f k u r
tɤfsoʁnɯ	t ɤ f s o ʁ n ɯ
tɤfsraŋ	t ɤ f s r a ŋ
tɤfsɯr	t ɤ f s ɯ r
tɤjlucu	t ɤ j l u c u
tɤjoʁa	t ɤ j o ʁ a
tɤjŋoʁ	t ɤ j ŋ o ʁ
tɤjɯm	t ɤ j ɯ m
tɤkhra	t ɤ k h r a
tɤkhrɯ	t ɤ k h r ɯ
tɤkhɤm	t ɤ k h ɤ m
tɤkɤjoʁ	t ɤ k ɤ j o ʁ
tɤkɤkɤtaʁ	t ɤ k ɤ k ɤ t a ʁ
tɤkɤntɕhoz	t ɤ k ɤ n t ɕ h o z
tɤkɤnɤla	t ɤ k ɤ n ɤ l a
tɤkɤnɯkhɤphrɯ	t ɤ k ɤ n ɯ k h ɤ p h r ɯ
tɤkɤnɯrdoʁ	t ɤ k ɤ n ɯ r d o ʁ
tɤkɤnɯtɯt	t ɤ k ɤ n ɯ t ɯ t
tɤkɤrɤrmbɣo	t ɤ k ɤ r ɤ r m b ɣ o
tɤkɤrɤɕi	t ɤ k ɤ r ɤ ɕ i
tɤkɤsphjar	t ɤ k ɤ s p h j a r
tɤkɤsɯfskɤr	t ɤ k ɤ s ɯ f s k ɤ r
tɤkɤsɯqrɯ	t ɤ k ɤ s ɯ q r ɯ
tɤkɤsɯrɤt	t ɤ k ɤ s ɯ r ɤ t
tɤkɤsɯɕɯɴq	t ɤ k ɤ s ɯ ɕ ɯ ɴ q
tɤkɤsɯɤrtɯm	t ɤ k ɤ s ɯ ɤ r t ɯ m
tɤkɤtshoʁ	t ɤ k ɤ t s h o ʁ
tɤkɤxtsɯɣ	t ɤ k ɤ x t s ɯ ɣ
tɤkɤŋke	t ɤ k ɤ ŋ k e
tɤkɤɣle	t ɤ k ɤ ɣ l e
tɤkɤɣrum	t ɤ k ɤ ɣ r u m
tɤkɤɣɤtɕɤt	t ɤ k ɤ ɣ ɤ t ɕ ɤ t
tɤkɤɬoʁ	t ɤ k ɤ ɬ o ʁ
tɤkɤʑŋga	t ɤ k ɤ ʑ ŋ g a
tɤkɤβraʁ	t ɤ k ɤ β r a ʁ
tɤkɯcha	t ɤ k ɯ c h a
tɤkɯfse	t ɤ k ɯ f s e
tɤkɯjpum	t ɤ k ɯ j p u m
tɤkɯjɤɣ	t ɤ k ɯ j ɤ ɣ
tɤkɯkhɯ	t ɤ k ɯ k h ɯ
tɤkɯmbri	t ɤ k ɯ m b r i
tɤkɯmbɣaʁ	t ɤ k ɯ m b ɣ a ʁ
tɤkɯmnɤm	t ɤ k ɯ m n ɤ m
tɤkɯmtshɤt	t ɤ k ɯ m t s h ɤ t
tɤkɯmŋɤm	t ɤ k ɯ m ŋ ɤ m
tɤkɯndza	t ɤ k ɯ n d z a
tɤkɯndzoʁ	t ɤ k ɯ n d z o ʁ
tɤkɯnɤma	t ɤ k ɯ n ɤ m a
tɤkɯnɤŋkɯŋke	t ɤ k ɯ n ɤ ŋ k ɯ ŋ k e
tɤkɯnɯmbrɤpɯ	t ɤ k ɯ n ɯ m b r ɤ p ɯ
tɤkɯnɯɣmaznɯ	t ɤ k ɯ n ɯ ɣ m a z n ɯ
tɤkɯnɯβraʁ	t ɤ k ɯ n ɯ β r a ʁ
tɤkɯqalpɕa	t ɤ k ɯ q a l p ɕ a
tɤkɯqawɯwɤr	t ɤ k ɯ q a w ɯ w ɤ r
tɤkɯrgɤz	t ɤ k ɯ r g ɤ z
tɤkɯrom	t ɤ k ɯ r o m
tɤkɯrpjɯ	t ɤ k ɯ r p j ɯ
tɤkɯrqoʁ	t ɤ k ɯ r q o ʁ
tɤkɯrɯndzɤtshi	t ɤ k ɯ r ɯ n d z ɤ t s h i
tɤkɯs	t ɤ k ɯ s
tɤkɯsna	t ɤ k ɯ s n a
tɤkɯstu	t ɤ k ɯ s t u
tɤkɯtɕɤt	t ɤ k ɯ t ɕ ɤ t
tɤkɯtɯtɯt	t ɤ k ɯ t ɯ t ɯ t
tɤkɯwɣrɯwɣrum	t ɤ k ɯ w ɣ r ɯ w ɣ r u m
tɤkɯzbaʁ	t ɤ k ɯ z b a ʁ
tɤkɯznɯkhoa	t ɤ k ɯ z n ɯ k h o a
tɤkɯŋke	t ɤ k ɯ ŋ k e
tɤkɯŋu	t ɤ k ɯ ŋ u
tɤkɯɤla	t ɤ k ɯ ɤ l a
tɤkɯɤmphɯr	t ɤ k ɯ ɤ m p h ɯ r
tɤkɯɤrɤrqhɯrqhioʁ	t ɤ k ɯ ɤ r ɤ r q h ɯ r q h i o ʁ
tɤkɯɤχsɯkɯko	t ɤ k ɯ ɤ χ s ɯ k ɯ k o
tɤkɯβzu	t ɤ k ɯ β z u
tɤloa	t ɤ l o a
tɤloʁ	t ɤ l o ʁ
tɤlɤtshɤʁ	t ɤ l ɤ t s h ɤ ʁ
tɤlɤxchi	t ɤ l ɤ x c h i
tɤlɤβ	t ɤ l ɤ β
tɤmbrɯ	t ɤ m b r ɯ
tɤmbrɯm	t ɤ m b r ɯ m
tɤmbrɯmnɯ	t ɤ m b r ɯ m n ɯ
tɤmbɣo	t ɤ m b ɣ o
tɤmbɣoma	t ɤ m b ɣ o m a
tɤmdɯ	t ɤ m d ɯ
tɤmnɤm	t ɤ m n ɤ m
tɤmtsaʁnɯ	t ɤ m t s a ʁ n ɯ
tɤmtsɯ	t ɤ m t s ɯ
tɤmtɯkɯnɤ	t ɤ m t ɯ k ɯ n ɤ
tɤmɯnmu	t ɤ m ɯ n m u
tɤnaʁdɯɣa	t ɤ n a ʁ d ɯ ɣ a
tɤndota	t ɤ n d o t a
tɤndɤɣri	t ɤ n d ɤ ɣ r i
tɤndʑɯɣ	t ɤ n d ʑ ɯ ɣ
tɤnnɯnanɯ	t ɤ n n ɯ n a n ɯ
tɤnnɯstu	t ɤ n n ɯ s t u
tɤno	t ɤ n o
tɤntɕapa	t ɤ n t ɕ a p a
tɤnɤkhɯ	t ɤ n ɤ k h ɯ
tɤnɤlata	t ɤ n ɤ l a t a
tɤnɤle	t ɤ n ɤ l e
tɤnɤmaj	t ɤ n ɤ m a j
tɤnɤmtsaʁlaʁ	t ɤ n ɤ m t s a ʁ l a ʁ
tɤnɤpɯpe	t ɤ n ɤ p ɯ p e
tɤnɤrkɤm	t ɤ n ɤ r k ɤ m
tɤnɤrɟɯrɟɯɣ	t ɤ n ɤ r ɟ ɯ r ɟ ɯ ɣ
tɤnɤrɟɯrɟɯɣnɯ	t ɤ n ɤ r ɟ ɯ r ɟ ɯ ɣ n ɯ
tɤnɤrʑaʁ	t ɤ n ɤ r ʑ a ʁ
tɤnɤtsa	t ɤ n ɤ t s a
tɤnɤŋkɯŋkenɯ	t ɤ n ɤ ŋ k ɯ ŋ k e n ɯ
tɤnɯkoŋtsoa	t ɤ n ɯ k o ŋ t s o a
tɤnɯkrɤzi	t ɤ n ɯ k r ɤ z i
tɤnɯkrɤztɕi	t ɤ n ɯ k r ɤ z t ɕ i
tɤnɯmtshi	t ɤ n ɯ m t s h i
tɤnɯnaj	t ɤ n ɯ n a j
tɤnɯndzata	t ɤ n ɯ n d z a t a
tɤnɯndze	t ɤ n ɯ n d z e
tɤnɯndɤm	t ɤ n ɯ n d ɤ m
tɤnɯnɤmata	t ɤ n ɯ n ɤ m a t a
tɤnɯpe	t ɤ n ɯ p e
tɤnɯsɤfsunɯ	t ɤ n ɯ s ɤ f s u n ɯ
tɤnɯwxti	t ɤ n ɯ w x t i
tɤnɯzdɯɣ	t ɤ n ɯ z d ɯ ɣ
tɤnɯɕpɯz	t ɤ n ɯ ɕ p ɯ z
tɤnɯɕpɯza	t ɤ n ɯ ɕ p ɯ z a
tɤnɯχpjɤt	t ɤ n ɯ χ p j ɤ t
tɤp	t ɤ p
tɤpa	t ɤ p a
tɤpata	t ɤ p a t a
tɤpenɯ	t ɤ p e n ɯ
tɤprɯ	t ɤ p r ɯ
tɤpɯɣ	t ɤ p ɯ ɣ
tɤqɤr	t ɤ q ɤ r
tɤretɤɟaʁ	t ɤ r e t ɤ ɟ a ʁ
tɤrkuj	t ɤ r k u j
tɤrkɯn	t ɤ r k ɯ n
tɤrmi	t ɤ r m i
tɤrmɣo	t ɤ r m ɣ o
tɤrt	t ɤ r t
tɤrtoʁ	t ɤ r t o ʁ
tɤrtoʁa	t ɤ r t o ʁ a
tɤrtɕhi	t ɤ r t ɕ h i
tɤrɤkrɤzndʑi	t ɤ r ɤ k r ɤ z n d ʑ i
tɤrɤtho	t ɤ r ɤ t h o
tɤrɤze	t ɤ r ɤ z e
tɤrɤŋgatndʑi	t ɤ r ɤ ŋ g a t n d ʑ i
tɤrɤŋgatnɯ	t ɤ r ɤ ŋ g a t n ɯ
tɤrɯstɯnmɯ	t ɤ r ɯ s t ɯ n m ɯ
tɤrɯstɯnmɯndʑi	t ɤ r ɯ s t ɯ n m ɯ n d ʑ i
tɤrɲɤm	t ɤ r ɲ ɤ m
tɤrʁaʁ	t ɤ r ʁ a ʁ
tɤrʁraʁ	t ɤ r ʁ r a ʁ
tɤrʑɯɣ	t ɤ r ʑ ɯ ɣ
tɤs	t ɤ s
tɤsci	t ɤ s c i
tɤscit	t ɤ s c i t
tɤsthoʁsi	t ɤ s t h o ʁ s i
tɤsto	t ɤ s t o
tɤstunɯ	t ɤ s t u n ɯ
tɤsŋɤl	t ɤ s ŋ ɤ l
tɤsɤmbrɯa	t ɤ s ɤ m b r ɯ a
tɤsɤndzɯrndzɯr	t ɤ s ɤ n d z ɯ r n d z ɯ r
tɤsɤscit	t ɤ s ɤ s c i t
tɤsɤstɤkɤm	t ɤ s ɤ s t ɤ k ɤ m
tɤsɤβzunɯ	t ɤ s ɤ β z u n ɯ
tɤsɤβzuta	t ɤ s ɤ β z u t a
tɤsɯxtsɯɣa	t ɤ s ɯ x t s ɯ ɣ a
tɤsɯza	t ɤ s ɯ z a
tɤsɲɤmtsɯ	t ɤ s ɲ ɤ m t s ɯ
tɤtatɕɤt	t ɤ t a t ɕ ɤ t
tɤthuta	t ɤ t h u t a
tɤthɯ	t ɤ t h ɯ
tɤtshɤt	t ɤ t s h ɤ t
tɤtsua	t ɤ t s u a
tɤtɕhom	t ɤ t ɕ h o m
tɤtɕɤri	t ɤ t ɕ ɤ r i
tɤtɕɯŋga	t ɤ t ɕ ɯ ŋ g a
tɤtɕɯβraʁnɯ	t ɤ t ɕ ɯ β r a ʁ n ɯ
tɤtɤxɯr	t ɤ t ɤ x ɯ r
tɤtɯari	t ɤ t ɯ a r i
tɤtɯfkanɯ	t ɤ t ɯ f k a n ɯ
tɤtɯfsenɯ	t ɤ t ɯ f s e n ɯ
tɤtɯnɯkrɤznɯ	t ɤ t ɯ n ɯ k r ɤ z n ɯ
tɤtɯnɯmtɕi	t ɤ t ɯ n ɯ m t ɕ i
tɤtɯnɯtɯt	t ɤ t ɯ n ɯ t ɯ t
tɤtɯrkɯrkut	t ɤ t ɯ r k ɯ r k u t
tɤtɯrɤru	t ɤ t ɯ r ɤ r u
tɤtɯstunɯ	t ɤ t ɯ s t u n ɯ
tɤtɯstut	t ɤ t ɯ s t u t
tɤtɯsɤndut	t ɤ t ɯ s ɤ n d u t
tɤtɯsɯsot	t ɤ t ɯ s ɯ s o t
tɤtɯsɯβzut	t ɤ t ɯ s ɯ β z u t
tɤtɯtsundʑi	t ɤ t ɯ t s u n d ʑ i
tɤtɯttɕi	t ɤ t ɯ t t ɕ i
tɤtɯʑat	t ɤ t ɯ ʑ a t
tɤtɯβzut	t ɤ t ɯ β z u t
tɤw	t ɤ w
tɤwumnɯ	t ɤ w u m n ɯ
tɤwxtindʑi	t ɤ w x t i n d ʑ i
tɤwɣrum	t ɤ w ɣ r u m
tɤwɤmɯ	t ɤ w ɤ m ɯ
tɤxtsɯɣa	t ɤ x t s ɯ ɣ a
tɤzcoz	t ɤ z c o z
tɤznɤχɕɯχɕu	t ɤ z n ɤ χ ɕ ɯ χ ɕ u
tɤznɯne	t ɤ z n ɯ n e
tɤzri	t ɤ z r i
